id,name,school,cat
ilac,Iberian and Latin American Cultures,school_hs,hum
ilachum,Iberian and Latin American Cultures and Humanities,school_hs,hum
idm,Individually Designed Major,school_hs,inter
ips,International Policy Studies,school_hs,inter
ir,International Relations,school_hs,socsci
japanese,Japanese,school_hs,hum
latinam,Latin American Studies,school_hs,hum
linguist,Linguistics,school_hs,socsci
mcs,Mathematical and Computational Science,school_hs,math
math,Mathematics,school_hs,math
medieval,Medieval Studies,school_hs,hum
mtl,Modern Thought and Literature,school_hs,hum
mtlhum,Modern Thought and Literature and Humanities,school_hs,hum
mdneurlit,Modern European Literature,school_hs,hum
music,Music,school_hs,hum
musichum,Music and Humanities,school_hs,hum
nativeam,Native American Studies,school_hs,hum
phil,Philosophy,school_hs,hum
philhum,Philosophy and Humanities,school_hs,hum
philrelig,Philosophy and Religious Studies,school_hs,hum
physics,Physics,school_hs,physci
physicalsci,Physical Sciences,school_hs,physci
polisci,Political Science,school_hs,socsci
psych,Psychology,school_hs,socsci
publpol,Public Policy,school_hs,socsci
religst,Religious Studies,school_hs,hum
relighum,Religious Studies and Humanities,school_hs,hum
rees,"Russian, East European and Eurasian Studies",school_hs,hum
russian,Russian,school_hs,hum
sts,"Science, Technology, and Society",school_hs,inter
slavic,Slavic Languages and Literature,school_hs,hum
slavichum,Slavic Languages and Literature and Humanities,school_hs,hum
socthink,Social Thought and Institutions,school_hs,hum
soc,Sociology,school_hs,socsci
spanport,Spanish,school_hs,hum
spanhum,Spanish and Humanities,school_hs,hum
stats,Statistics,school_hs,math
symsys,Symbolic Systems,school_hs,inter
urbanst,Urban Studies,school_hs,socsci
school_law,SCHOOL OF LAW,dept,dept
law,Law,school_law,prof
prelaw,Pre-Law,school_law,prof
lawbiz,Law Business,school_law,prof
school_med,SCHOOL OF MEDICINE,dept,dept
medadp,Advanced Degree Programs,school_med,prof
anatomy,Anatomy,school_med,prof
bioc,Biochemistry,school_med,prof
biomedin,Biomedical Informatics,school_med,prof
cbio,Cancer Biology,school_med,prof
cellbio,Cell Biology,school_med,prof
csb,Chemical and Systems Biology,school_med,prof
comadm,Combined Admission Mode,school_med,prof
dbio,Developmental Biology,school_med,prof
epidem,Epidemiology,school_med,prof
gene,Genetics,school_med,prof
hrp,Health Services Research,school_med,prof
hearspeech,Hearing and Speech Sciences,school_med,prof
humgene,Human Genetics,school_med,prof
immunol,Immunology,school_med,prof
med,Medicine,school_med,prof
medmicrobio,Medical Microbiology,school_med,prof
medscience,Medical Sciences,school_med,prof
molpharma,Molecular Pharmacology,school_med,prof
mi,Microbiology and Immunology,school_med,prof
nepr,Neurosciences,school_med,prof
mcp,Molecular and Cellular Physiology,school_med,prof
nurse,Nursing,school_med,prof
pharma,Pharmacology,school_med,prof
physio,Physiology,school_med,prof
stemrem,Stem Cell Biology and Regenerative Medicine,school_med,prof
sbio,Structural Biology,school_med,prof
phystherapy,Physical Therapy,school_med,prof
gradspec,Graduate Special Programs,misc,inter
interdept,Interdepartmental,misc,inter
unaffliated,UNAFFLIATED,dept,dept
